validation,year,decile,n_clusters,examined,positive,mean_pred,mean_obs,se_obs,lower,upper
Spatial block 5-fold cross-validation,2018,9,22,577,369,0.5353079439396087,0.6395147313691508,0.0199885426337733,0.6003371878069551,0.6786922749313465
Spatial block 5-fold cross-validation,2018,10,22,463,266,0.6489503829510599,0.5745140388768899,0.022977482545436023,0.5294781730878353,0.6195499046659445
Spatial block 5-fold cross-validation,2022,1,51,204,9,0.03300197607607773,0.04411764705882353,0.01437782883961476,0.015937102533178604,0.07229819158446846
Spatial block 5-fold cross-validation,2022,2,51,228,5,0.05937158046261301,0.021929824561403508,0.009699183216676342,0.0029194254567178786,0.04094022366608914
Spatial block 5-fold cross-validation,2022,3,51,278,28,0.10920102146179363,0.10071942446043165,0.018050192011253876,0.06534104811837406,0.13609780080248923
Spatial block 5-fold cross-validation,2022,4,51,304,32,0.16266062858715385,0.10526315789473684,0.01760147510684049,0.07076426668532948,0.1397620491041442
Spatial block 5-fold cross-validation,2022,5,51,356,65,0.2101092556469116,0.18258426966292135,0.02047520109616979,0.14245287551442856,0.22271566381141414
Spatial block 5-fold cross-validation,2022,6,50,405,124,0.25832710437843104,0.30617283950617286,0.022902424900180234,0.2612840867018196,0.35106159231052614
Spatial block 5-fold cross-validation,2022,7,50,378,120,0.29562452748315077,0.31746031746031744,0.023942129540346888,0.27053374356123755,0.36438689135939734
Spatial block 5-fold cross-validation,2022,8,50,389,150,0.3321299071526396,0.3856041131105398,0.02467858063308516,0.33723409506969293,0.4339741311513867
Spatial block 5-fold cross-validation,2022,9,50,345,135,0.38267457534771954,0.391304347826087,0.02627531244445226,0.33980473543496054,0.4428039602172134
Spatial block 5-fold cross-validation,2022,10,50,399,233,0.48330575049117247,0.5839598997493735,0.024675880648918836,0.5355951736774925,0.6323246258212544
Spatial block 5-fold cross-validation,2023,1,10,75,16,0.08087876073655445,0.21333333333333335,0.04730359002897803,0.12061829687653641,0.3060483697901303
Spatial block 5-fold cross-validation,2023,2,10,76,18,0.16720665638769264,0.23684210526315788,0.04876742906221123,0.14125794430122388,0.33242626622509186
Spatial block 5-fold cross-validation,2023,3,10,64,13,0.2225373373131477,0.203125,0.05029059839681146,0.10455542714224955,0.3016945728577505
Spatial block 5-fold cross-validation,2023,4,10,47,12,0.24582001192631203,0.2553191489361702,0.06360303771727834,0.13065719501030465,0.37998110286203574
Spatial block 5-fold cross-validation,2023,5,9,52,15,0.27235257080635794,0.28846153846153844,0.0628262988922542,0.16532199263272018,0.4116010842903567
Spatial block 5-fold cross-validation,2023,6,9,55,12,0.29173354606581764,0.21818181818181817,0.05569046146443494,0.10902851371152569,0.3273351226521106
Spatial block 5-fold cross-validation,2023,7,9,73,20,0.3329780994516065,0.273972602739726,0.05219977637171254,0.17166104105116944,0.3762841644282826
Spatial block 5-fold cross-validation,2023,8,9,71,27,0.3661732505489262,0.38028169014084506,0.05761302746414258,0.2673601563111256,0.49320322397056454
Spatial block 5-fold cross-validation,2023,9,9,68,12,0.40944859547921125,0.17647058823529413,0.046229720470198576,0.08586033611370492,0.26708084035688334
Spatial block 5-fold cross-validation,2023,10,9,71,22,0.4933500365865119,0.30985915492957744,0.054880979931595526,0.2022924342636502,0.4174258755955047
