year,mean_cell_exceedance_class,dominant_gridcell_decision,Province,District,mean_exceedance_probability,area_prop_yes,area_prop_uncertain,area_prop_no,decision_valid_raster_area_km2,decision_aggregation_method,decision_fallback_distance_km,decision_fallback_cell_longitude,decision_fallback_cell_latitude,mean_exceedance_probability_pct,area_pct_yes,area_pct_uncertain,area_pct_no
2007,Uncertain,Uncertain,Inhambane,Mabote,0.6660315169937019,0.09106115550619623,0.9089388444938031,0,15306.272963426696,area_weighted_exact,NA,NA,NA,66.60315169937019,9.106115550619624,90.89388444938031,0
2007,Uncertain,Uncertain,Inhambane,Massinga,0.7235710312833069,0.2575616135688188,0.7424383864311809,0,7173.7213241248155,area_weighted_exact,NA,NA,NA,72.35710312833069,25.75616135688188,74.24383864311808,0
2007,Yes,Yes,Inhambane,Maxixe,0.9912071751047138,1,0,0,115.99952415786196,area_weighted_exact,NA,NA,NA,99.12071751047138,100,0,0
2007,Yes,Yes,Inhambane,Morrumbene,0.9348794954003534,0.9324503566887588,0.06754964331124105,0,2487.8270038273827,area_weighted_exact,NA,NA,NA,93.48794954003534,93.24503566887587,6.754964331124105,0
2007,Yes,Yes,Inhambane,Panda,0.846456363755,0.6738941496322927,0.32610585036770606,0,6843.419001673211,area_weighted_exact,NA,NA,NA,84.6456363755,67.38941496322927,32.61058503677061,0
2007,Uncertain,Uncertain,Inhambane,Vilankulo,0.596008506543634,0.16313975859550642,0.8315791556711036,0.00528108573338935,5405.629376569867,area_weighted_exact,NA,NA,NA,59.6008506543634,16.31397585955064,83.15791556711036,0.528108573338935
2007,Yes,Yes,Inhambane,Zavala,0.9058938151378951,0.7697817880171567,0.23021821198284317,0,1778.127123156096,area_weighted_exact,NA,NA,NA,90.58938151378952,76.97817880171567,23.021821198284318,0
2007,Uncertain,Uncertain,Manica,Chimoio,0.3040817124317395,0.05226164376242702,0.644881875372607,0.30285648086496586,174.42410242870181,area_weighted_exact,NA,NA,NA,30.40817124317395,5.226164376242702,64.4881875372607,30.285648086496586
2007,Uncertain,Uncertain,Manica,Guro,0.368825315695055,0,0.8411985133354389,0.15880148666456204,6929.747581522938,area_weighted_exact,NA,NA,NA,36.8825315695055,0,84.11985133354389,15.880148666456204
2007,Uncertain,Uncertain,Manica,Machaze,0.648447368494252,0.07216854360312583,0.9191951850849471,0.008636271311929181,13282.71523334556,area_weighted_exact,NA,NA,NA,64.8447368494252,7.216854360312583,91.91951850849472,0.8636271311929181
2007,Uncertain,Yes,Manica,Manica,0.6227567978326815,0.49358985723602516,0.30724766832453193,0.19916247443944304,2341.055990046743,area_weighted_exact,NA,NA,NA,62.275679783268146,49.358985723602515,30.72476683245319,19.916247443944304
2007,Uncertain,Uncertain,Manica,Mossurize,0.639997395288818,0.22615437346382633,0.750134245776703,0.023711380759470366,4860.371963229896,area_weighted_exact,NA,NA,NA,63.999739528881804,22.615437346382635,75.01342457767029,2.3711380759470364
2007,Uncertain,Uncertain,Manica,Tambara,0.6974557988176583,0.36018829141808834,0.619198645499934,0.02061306308197872,4284.601821031444,area_weighted_exact,NA,NA,NA,69.74557988176583,36.01882914180884,61.9198645499934,2.061306308197872
2007,No,No,Maputo,Boane,0.18129418405827752,0,0.3009545997463151,0.6990454002536851,753.9186114573357,area_weighted_exact,NA,NA,NA,18.129418405827753,0,30.09545997463151,69.9045400253685
2007,Uncertain,Uncertain,Maputo,Magude,0.42813646634909686,0.0024461074756177655,0.9258018767277962,0.07175201579658567,6911.108249847907,area_weighted_exact,NA,NA,NA,42.81364663490969,0.24461074756177656,92.58018767277963,7.175201579658568
2007,No,No,Maputo,Manhiça,0.1763072771497618,0.02250173698253523,0.2952476032654523,0.6822506597520128,2249.5779276112175,area_weighted_exact,NA,NA,NA,17.63072771497618,2.250173698253523,29.52476032654523,68.22506597520129
2007,No,No,Maputo,Marracuene,0.024402299933563847,0,0,1,622.9732196591104,area_weighted_exact,NA,NA,NA,2.4402299933563847,0,0,100
2007,No,No,Maputo,Matola,0.002682577008506532,0,0,1,311.59618042144854,area_weighted_exact,NA,NA,NA,0.2682577008506532,0,0,100
2007,Uncertain,Uncertain,Maputo,Matutuíne,0.30805085201793964,0,0.8383825832121886,0.16161741678781133,4828.853343120534,area_weighted_exact,NA,NA,NA,30.805085201793965,0,83.83825832121886,16.161741678781134
